SKU,QtdEstoque,DataSnapshot,Laboratorio
24158,2,20/01/2026,BH Shopping
24159,2,20/01/2026,BH Shopping
24160,3,20/01/2026,BH Shopping
24163,2,20/01/2026,BH Shopping
24164,0,20/01/2026,BH Shopping
24165,0,20/01/2026,BH Shopping
24166,0,20/01/2026,BH Shopping
24167,2,20/01/2026,BH Shopping
24168,2,20/01/2026,BH Shopping
24169,1,20/01/2026,BH Shopping
24170,1,20/01/2026,BH Shopping
24171,0,20/01/2026,BH Shopping
24172,1,20/01/2026,BH Shopping
24173,0,20/01/2026,BH Shopping
24174,0,20/01/2026,BH Shopping
24176,0,20/01/2026,BH Shopping
24177,0,20/01/2026,BH Shopping
24178,0,20/01/2026,BH Shopping
24179,0,20/01/2026,BH Shopping
24180,0,20/01/2026,BH Shopping
24188,0,20/01/2026,BH Shopping
24200,0,20/01/2026,BH Shopping
24204,3,20/01/2026,BH Shopping
24219,0,20/01/2026,BH Shopping
24220,0,20/01/2026,BH Shopping
24221,1,20/01/2026,BH Shopping
24234,0,20/01/2026,BH Shopping
24238,0,20/01/2026,BH Shopping
24324,3,20/01/2026,BH Shopping
24325,2,20/01/2026,BH Shopping
24326,2,20/01/2026,BH Shopping
24327,1,20/01/2026,BH Shopping
24328,2,20/01/2026,BH Shopping
24329,3,20/01/2026,BH Shopping
24330,2,20/01/2026,BH Shopping
24344,2,20/01/2026,BH Shopping
24387,3,20/01/2026,BH Shopping
24401,2,20/01/2026,BH Shopping
24412,0,20/01/2026,BH Shopping
24413,2,20/01/2026,BH Shopping
24415,3,20/01/2026,BH Shopping
24416,2,20/01/2026,BH Shopping
24417,4,20/01/2026,BH Shopping
24418,0,20/01/2026,BH Shopping
24419,3,20/01/2026,BH Shopping
24421,0,20/01/2026,BH Shopping
24422,3,20/01/2026,BH Shopping
24423,3,20/01/2026,BH Shopping
24424,2,20/01/2026,BH Shopping
24426,3,20/01/2026,BH Shopping
24427,3,20/01/2026,BH Shopping
24428,0,20/01/2026,BH Shopping
24429,0,20/01/2026,BH Shopping
24430,0,20/01/2026,BH Shopping
24431,0,20/01/2026,BH Shopping
24432,0,20/01/2026,BH Shopping
24433,3,20/01/2026,BH Shopping
24435,2,20/01/2026,BH Shopping
24436,2,20/01/2026,BH Shopping
24438,2,20/01/2026,BH Shopping
24439,2,20/01/2026,BH Shopping
24442,3,20/01/2026,BH Shopping
24443,0,20/01/2026,BH Shopping
24445,3,20/01/2026,BH Shopping
24446,3,20/01/2026,BH Shopping
24447,1,20/01/2026,BH Shopping
24448,0,20/01/2026,BH Shopping
24449,0,20/01/2026,BH Shopping
24450,0,20/01/2026,BH Shopping
24452,2,20/01/2026,BH Shopping
24454,3,20/01/2026,BH Shopping
24455,3,20/01/2026,BH Shopping
24469,2,20/01/2026,BH Shopping
24470,0,20/01/2026,BH Shopping
24533,0,20/01/2026,BH Shopping
24534,2,20/01/2026,BH Shopping
24579,5,20/01/2026,BH Shopping
24580,0,20/01/2026,BH Shopping
24581,0,20/01/2026,BH Shopping
24582,0,20/01/2026,BH Shopping
24583,0,20/01/2026,BH Shopping
24584,1,20/01/2026,BH Shopping
24585,0,20/01/2026,BH Shopping
24586,3,20/01/2026,BH Shopping
24587,3,20/01/2026,BH Shopping
24588,0,20/01/2026,BH Shopping
24589,3,20/01/2026,BH Shopping
24590,3,20/01/2026,BH Shopping
24591,3,20/01/2026,BH Shopping
24592,0,20/01/2026,BH Shopping
24593,0,20/01/2026,BH Shopping
24594,2,20/01/2026,BH Shopping
24595,2,20/01/2026,BH Shopping
24596,0,20/01/2026,BH Shopping
24597,0,20/01/2026,BH Shopping
24598,0,20/01/2026,BH Shopping
24599,0,20/01/2026,BH Shopping
24600,2,20/01/2026,BH Shopping
24601,0,20/01/2026,BH Shopping
24602,0,20/01/2026,BH Shopping
24603,0,20/01/2026,BH Shopping
24604,1,20/01/2026,BH Shopping
24605,2,20/01/2026,BH Shopping
24606,2,20/01/2026,BH Shopping
24607,1,20/01/2026,BH Shopping
24608,1,20/01/2026,BH Shopping
24609,0,20/01/2026,BH Shopping
24610,0,20/01/2026,BH Shopping
24611,0,20/01/2026,BH Shopping
24612,0,20/01/2026,BH Shopping
24613,0,20/01/2026,BH Shopping
24614,0,20/01/2026,BH Shopping
24615,1,20/01/2026,BH Shopping
24616,1,20/01/2026,BH Shopping
24617,0,20/01/2026,BH Shopping
24618,1,20/01/2026,BH Shopping
24619,1,20/01/2026,BH Shopping
24620,2,20/01/2026,BH Shopping
24621,0,20/01/2026,BH Shopping
24622,0,20/01/2026,BH Shopping
24623,0,20/01/2026,BH Shopping
24624,0,20/01/2026,BH Shopping
24625,1,20/01/2026,BH Shopping
24626,0,20/01/2026,BH Shopping
24627,0,20/01/2026,BH Shopping
24628,1,20/01/2026,BH Shopping
24629,0,20/01/2026,BH Shopping
24630,2,20/01/2026,BH Shopping
24631,0,20/01/2026,BH Shopping
24632,0,20/01/2026,BH Shopping
24633,0,20/01/2026,BH Shopping
24634,0,20/01/2026,BH Shopping
